{0.34500000000000003, 0.77}
{0.35000000000000003, 0.75}
{0.35000000000000003, 0.76}
{0.355, 0.74}
{0.355, 0.75}
{0.36, 0.72}
{0.36, 0.73}
{0.36, 0.74}
{0.36, 0.75}
{0.365, 0.71}
{0.365, 0.72}
{0.365, 0.73}
{0.365, 0.74}
{0.37, 0.6900000000000001}
{0.37, 0.7000000000000001}
{0.37, 0.71}
{0.37, 0.72}
{0.37, 0.73}
{0.375, 0.67}
{0.375, 0.68}
{0.375, 0.6900000000000001}
{0.375, 0.7000000000000001}
{0.375, 0.71}
{0.375, 0.72}
{0.375, 0.73}
{0.38, 0.5700000000000001}
{0.38, 0.58}
{0.38, 0.59}
{0.38, 0.6}
{0.38, 0.61}
{0.38, 0.62}
{0.38, 0.63}
{0.38, 0.64}
{0.38, 0.65}
{0.38, 0.66}
{0.38, 0.67}
{0.38, 0.68}
{0.38, 0.6900000000000001}
{0.38, 0.7000000000000001}
{0.38, 0.71}
{0.38, 0.72}
{0.385, 0.38}
{0.385, 0.39}
{0.385, 0.4}
{0.385, 0.41000000000000003}
{0.385, 0.42}
{0.385, 0.43}
{0.385, 0.44}
{0.385, 0.45}
{0.385, 0.46}
{0.385, 0.47000000000000003}
{0.385, 0.48}
{0.385, 0.49}
{0.385, 0.5}
{0.385, 0.51}
{0.385, 0.52}
{0.385, 0.53}
{0.385, 0.54}
{0.385, 0.55}
{0.385, 0.56}
{0.385, 0.5700000000000001}
{0.385, 0.58}
{0.385, 0.59}
{0.385, 0.6}
{0.385, 0.61}
{0.385, 0.62}
{0.385, 0.63}
{0.385, 0.64}
{0.385, 0.65}
{0.385, 0.66}
{0.385, 0.67}
{0.385, 0.68}
{0.385, 0.6900000000000001}
{0.385, 0.7000000000000001}
{0.385, 0.71}
{0.39, 0.19}
{0.39, 0.2}
{0.39, 0.21}
{0.39, 0.22}
{0.39, 0.23}
{0.39, 0.24}
{0.39, 0.25}
{0.39, 0.26}
{0.39, 0.27}
{0.39, 0.28}
{0.39, 0.29}
{0.39, 0.3}
{0.39, 0.31}
{0.39, 0.32}
{0.39, 0.33}
{0.39, 0.34}
{0.39, 0.35000000000000003}
{0.39, 0.36}
{0.39, 0.37}
{0.39, 0.38}
{0.39, 0.39}
{0.39, 0.4}
{0.39, 0.41000000000000003}
{0.39, 0.42}
{0.39, 0.43}
{0.39, 0.44}
{0.39, 0.45}
{0.39, 0.46}
{0.39, 0.47000000000000003}
{0.39, 0.48}
{0.39, 0.49}
{0.39, 0.5}
{0.39, 0.51}
{0.39, 0.52}
{0.39, 0.53}
{0.39, 0.54}
{0.39, 0.55}
{0.39, 0.56}
{0.39, 0.5700000000000001}
{0.39, 0.58}
{0.39, 0.59}
{0.39, 0.6}
{0.39, 0.61}
{0.39, 0.62}
{0.39, 0.63}
{0.39, 0.64}
{0.39, 0.65}
{0.39, 0.66}
{0.39, 0.67}
{0.39, 0.68}
{0.39, 0.6900000000000001}
{0.39, 0.7000000000000001}
{0.395, 0.}
{0.395, 0.01}
{0.395, 0.02}
{0.395, 0.03}
{0.395, 0.04}
{0.395, 0.05}
{0.395, 0.06}
{0.395, 0.07}
{0.395, 0.08}
{0.395, 0.09}
{0.395, 0.1}
{0.395, 0.11}
{0.395, 0.12}
{0.395, 0.13}
{0.395, 0.14}
{0.395, 0.15}
{0.395, 0.16}
{0.395, 0.17}
{0.395, 0.18}
{0.395, 0.19}
{0.395, 0.2}
{0.395, 0.21}
{0.395, 0.22}
{0.395, 0.23}
{0.395, 0.24}
{0.395, 0.25}
{0.395, 0.26}
{0.395, 0.27}
{0.395, 0.28}
{0.395, 0.29}
{0.395, 0.3}
{0.395, 0.31}
{0.395, 0.32}
{0.395, 0.33}
{0.395, 0.34}
{0.395, 0.35000000000000003}
{0.395, 0.36}
{0.395, 0.37}
{0.395, 0.38}
{0.395, 0.39}
{0.395, 0.4}
{0.395, 0.41000000000000003}
{0.395, 0.42}
{0.395, 0.43}
{0.395, 0.44}
{0.395, 0.45}
{0.395, 0.46}
{0.395, 0.47000000000000003}
{0.395, 0.48}
{0.395, 0.49}
{0.395, 0.5}
{0.395, 0.51}
{0.395, 0.52}
{0.395, 0.53}
{0.395, 0.54}
{0.395, 0.55}
{0.395, 0.56}
{0.395, 0.5700000000000001}
{0.395, 0.58}
{0.395, 0.59}
{0.395, 0.6}
{0.395, 0.61}
{0.395, 0.62}
{0.395, 0.63}
{0.395, 0.64}
{0.395, 0.65}
{0.395, 0.66}
{0.395, 0.67}
{0.395, 0.68}
{0.395, 0.6900000000000001}
{0.395, 0.7000000000000001}
{0.4, 0.}
{0.4, 0.01}
{0.4, 0.02}
{0.4, 0.03}
{0.4, 0.04}
{0.4, 0.05}
{0.4, 0.06}
{0.4, 0.07}
{0.4, 0.08}
{0.4, 0.09}
{0.4, 0.1}
{0.4, 0.11}
{0.4, 0.12}
{0.4, 0.13}
{0.4, 0.14}
{0.4, 0.15}
{0.4, 0.16}
{0.4, 0.17}
{0.4, 0.18}
{0.4, 0.19}
{0.4, 0.2}
{0.4, 0.21}
{0.4, 0.22}
{0.4, 0.23}
{0.4, 0.24}
{0.4, 0.25}
{0.4, 0.26}
{0.4, 0.27}
{0.4, 0.28}
{0.4, 0.29}
{0.4, 0.3}
{0.4, 0.31}
{0.4, 0.32}
{0.4, 0.33}
{0.4, 0.34}
{0.4, 0.35000000000000003}
{0.4, 0.36}
{0.4, 0.37}
{0.4, 0.38}
{0.4, 0.39}
{0.4, 0.4}
{0.4, 0.41000000000000003}
{0.4, 0.42}
{0.4, 0.43}
{0.4, 0.44}
{0.4, 0.45}
{0.4, 0.46}
{0.4, 0.47000000000000003}
{0.4, 0.48}
{0.4, 0.49}
{0.4, 0.5}
{0.4, 0.51}
{0.4, 0.52}
{0.4, 0.53}
{0.4, 0.54}
{0.4, 0.55}
{0.4, 0.56}
{0.4, 0.5700000000000001}
{0.4, 0.58}
{0.4, 0.59}
{0.4, 0.6}
{0.4, 0.61}
{0.4, 0.62}
{0.4, 0.63}
{0.4, 0.64}
{0.4, 0.65}
{0.4, 0.66}
{0.4, 0.67}
{0.4, 0.68}
{0.4, 0.6900000000000001}
{0.405, 0.}
{0.405, 0.01}
{0.405, 0.02}
{0.405, 0.03}
{0.405, 0.04}
{0.405, 0.05}
{0.405, 0.06}
{0.405, 0.07}
{0.405, 0.08}
{0.405, 0.09}
{0.405, 0.1}
{0.405, 0.11}
{0.405, 0.12}
{0.405, 0.13}
{0.405, 0.14}
{0.405, 0.15}
{0.405, 0.16}
{0.405, 0.17}
{0.405, 0.18}
{0.405, 0.19}
{0.405, 0.2}
{0.405, 0.21}
{0.405, 0.22}
{0.405, 0.23}
{0.405, 0.24}
{0.405, 0.25}
{0.405, 0.26}
{0.405, 0.27}
{0.405, 0.28}
{0.405, 0.29}
{0.405, 0.3}
{0.405, 0.31}
{0.405, 0.32}
{0.405, 0.33}
{0.405, 0.34}
{0.405, 0.35000000000000003}
{0.405, 0.36}
{0.405, 0.37}
{0.405, 0.38}
{0.405, 0.39}
{0.405, 0.4}
{0.405, 0.41000000000000003}
{0.405, 0.42}
{0.405, 0.43}
{0.405, 0.44}
{0.405, 0.45}
{0.405, 0.46}
{0.405, 0.47000000000000003}
{0.405, 0.48}
{0.405, 0.49}
{0.405, 0.5}
{0.405, 0.51}
{0.405, 0.52}
{0.405, 0.53}
{0.405, 0.54}
{0.405, 0.55}
{0.405, 0.56}
{0.405, 0.5700000000000001}
{0.405, 0.58}
{0.405, 0.59}
{0.405, 0.6}
{0.405, 0.61}
{0.405, 0.62}
{0.405, 0.63}
{0.405, 0.64}
{0.405, 0.65}
{0.405, 0.66}
{0.405, 0.67}
{0.405, 0.68}
{0.41000000000000003, 0.}
{0.41000000000000003, 0.01}
{0.41000000000000003, 0.02}
{0.41000000000000003, 0.03}
{0.41000000000000003, 0.04}
{0.41000000000000003, 0.05}
{0.41000000000000003, 0.06}
{0.41000000000000003, 0.07}
{0.41000000000000003, 0.08}
{0.41000000000000003, 0.09}
{0.41000000000000003, 0.1}
{0.41000000000000003, 0.11}
{0.41000000000000003, 0.12}
{0.41000000000000003, 0.13}
{0.41000000000000003, 0.14}
{0.41000000000000003, 0.15}
{0.41000000000000003, 0.16}
{0.41000000000000003, 0.17}
{0.41000000000000003, 0.18}
{0.41000000000000003, 0.19}
{0.41000000000000003, 0.2}
{0.41000000000000003, 0.21}
{0.41000000000000003, 0.22}
{0.41000000000000003, 0.23}
{0.41000000000000003, 0.24}
{0.41000000000000003, 0.25}
{0.41000000000000003, 0.26}
{0.41000000000000003, 0.27}
{0.41000000000000003, 0.28}
{0.41000000000000003, 0.29}
{0.41000000000000003, 0.3}
{0.41000000000000003, 0.31}
{0.41000000000000003, 0.32}
{0.41000000000000003, 0.33}
{0.41000000000000003, 0.34}
{0.41000000000000003, 0.35000000000000003}
{0.41000000000000003, 0.36}
{0.41000000000000003, 0.37}
{0.41000000000000003, 0.38}
{0.41000000000000003, 0.39}
{0.41000000000000003, 0.4}
{0.41000000000000003, 0.41000000000000003}
{0.41000000000000003, 0.42}
{0.41000000000000003, 0.43}
{0.41000000000000003, 0.44}
{0.41000000000000003, 0.45}
{0.41000000000000003, 0.46}
{0.41000000000000003, 0.47000000000000003}
{0.41000000000000003, 0.48}
{0.41000000000000003, 0.49}
{0.41000000000000003, 0.5}
{0.41000000000000003, 0.51}
{0.41000000000000003, 0.52}
{0.41000000000000003, 0.53}
{0.41000000000000003, 0.54}
{0.41000000000000003, 0.55}
{0.41000000000000003, 0.56}
{0.41000000000000003, 0.5700000000000001}
{0.41000000000000003, 0.58}
{0.41000000000000003, 0.59}
{0.41000000000000003, 0.6}
{0.41000000000000003, 0.61}
{0.41000000000000003, 0.62}
{0.41000000000000003, 0.63}
{0.41000000000000003, 0.64}
{0.41000000000000003, 0.65}
{0.41000000000000003, 0.66}
{0.41000000000000003, 0.67}
{0.41000000000000003, 0.68}
{0.41500000000000004, 0.}
{0.41500000000000004, 0.01}
{0.41500000000000004, 0.02}
{0.41500000000000004, 0.03}
{0.41500000000000004, 0.04}
{0.41500000000000004, 0.05}
{0.41500000000000004, 0.06}
{0.41500000000000004, 0.07}
{0.41500000000000004, 0.08}
{0.41500000000000004, 0.09}
{0.41500000000000004, 0.1}
{0.41500000000000004, 0.11}
{0.41500000000000004, 0.12}
{0.41500000000000004, 0.13}
{0.41500000000000004, 0.14}
{0.41500000000000004, 0.15}
{0.41500000000000004, 0.16}
{0.41500000000000004, 0.17}
{0.41500000000000004, 0.18}
{0.41500000000000004, 0.19}
{0.41500000000000004, 0.2}
{0.41500000000000004, 0.21}
{0.41500000000000004, 0.22}
{0.41500000000000004, 0.23}
{0.41500000000000004, 0.24}
{0.41500000000000004, 0.25}
{0.41500000000000004, 0.26}
{0.41500000000000004, 0.27}
{0.41500000000000004, 0.28}
{0.41500000000000004, 0.29}
{0.41500000000000004, 0.3}
{0.41500000000000004, 0.31}
{0.41500000000000004, 0.32}
{0.41500000000000004, 0.33}
{0.41500000000000004, 0.34}
{0.41500000000000004, 0.35000000000000003}
{0.41500000000000004, 0.36}
{0.41500000000000004, 0.37}
{0.41500000000000004, 0.38}
{0.41500000000000004, 0.39}
{0.41500000000000004, 0.4}
{0.41500000000000004, 0.41000000000000003}
{0.41500000000000004, 0.42}
{0.41500000000000004, 0.43}
{0.41500000000000004, 0.44}
{0.41500000000000004, 0.45}
{0.41500000000000004, 0.46}
{0.41500000000000004, 0.47000000000000003}
{0.41500000000000004, 0.48}
{0.41500000000000004, 0.49}
{0.41500000000000004, 0.5}
{0.41500000000000004, 0.51}
{0.41500000000000004, 0.52}
{0.41500000000000004, 0.53}
{0.41500000000000004, 0.54}
{0.41500000000000004, 0.55}
{0.41500000000000004, 0.56}
{0.41500000000000004, 0.5700000000000001}
{0.41500000000000004, 0.58}
{0.41500000000000004, 0.59}
{0.41500000000000004, 0.6}
{0.41500000000000004, 0.61}
{0.41500000000000004, 0.62}
{0.41500000000000004, 0.63}
{0.41500000000000004, 0.64}
{0.41500000000000004, 0.65}
{0.41500000000000004, 0.66}
{0.41500000000000004, 0.67}
{0.42, 0.}
{0.42, 0.01}
{0.42, 0.02}
{0.42, 0.03}
{0.42, 0.04}
{0.42, 0.05}
{0.42, 0.06}
{0.42, 0.07}
{0.42, 0.08}
{0.42, 0.09}
{0.42, 0.1}
{0.42, 0.11}
{0.42, 0.12}
{0.42, 0.13}
{0.42, 0.14}
{0.42, 0.15}
{0.42, 0.16}
{0.42, 0.17}
{0.42, 0.18}
{0.42, 0.19}
{0.42, 0.2}
{0.42, 0.21}
{0.42, 0.22}
{0.42, 0.23}
{0.42, 0.24}
{0.42, 0.25}
{0.42, 0.26}
{0.42, 0.27}
{0.42, 0.28}
{0.42, 0.29}
{0.42, 0.3}
{0.42, 0.31}
{0.42, 0.32}
{0.42, 0.33}
{0.42, 0.34}
{0.42, 0.35000000000000003}
{0.42, 0.36}
{0.42, 0.37}
{0.42, 0.38}
{0.42, 0.39}
{0.42, 0.4}
{0.42, 0.41000000000000003}
{0.42, 0.42}
{0.42, 0.43}
{0.42, 0.44}
{0.42, 0.45}
{0.42, 0.46}
{0.42, 0.47000000000000003}
{0.42, 0.48}
{0.42, 0.49}
{0.42, 0.5}
{0.42, 0.51}
{0.42, 0.52}
{0.42, 0.53}
{0.42, 0.54}
{0.42, 0.55}
{0.42, 0.56}
{0.42, 0.5700000000000001}
{0.42, 0.58}
{0.42, 0.59}
{0.42, 0.6}
{0.42, 0.61}
{0.42, 0.62}
{0.42, 0.63}
{0.42, 0.64}
{0.42, 0.65}
{0.42, 0.66}
{0.425, 0.}
{0.425, 0.01}
{0.425, 0.02}
{0.425, 0.03}
{0.425, 0.04}
{0.425, 0.05}
{0.425, 0.06}
{0.425, 0.07}
{0.425, 0.08}
{0.425, 0.09}
{0.425, 0.1}
{0.425, 0.11}
{0.425, 0.12}
{0.425, 0.13}
{0.425, 0.14}
{0.425, 0.15}
{0.425, 0.16}
{0.425, 0.17}
{0.425, 0.18}
{0.425, 0.19}
{0.425, 0.2}
{0.425, 0.21}
{0.425, 0.22}
{0.425, 0.23}
{0.425, 0.24}
{0.425, 0.25}
{0.425, 0.26}
{0.425, 0.27}
{0.425, 0.28}
{0.425, 0.29}
{0.425, 0.3}
{0.425, 0.31}
{0.425, 0.32}
{0.425, 0.33}
{0.425, 0.34}
{0.425, 0.35000000000000003}
{0.425, 0.36}
{0.425, 0.37}
{0.425, 0.38}
{0.425, 0.39}
{0.425, 0.4}
{0.425, 0.41000000000000003}
{0.425, 0.42}
{0.425, 0.43}
{0.425, 0.44}
{0.425, 0.45}
{0.425, 0.46}
{0.425, 0.47000000000000003}
{0.425, 0.48}
{0.425, 0.49}
{0.425, 0.5}
{0.425, 0.51}
{0.425, 0.52}
{0.425, 0.53}
{0.425, 0.54}
{0.425, 0.55}
{0.425, 0.56}
{0.425, 0.5700000000000001}
{0.425, 0.58}
{0.425, 0.59}
{0.425, 0.6}
{0.425, 0.61}
{0.425, 0.62}
{0.425, 0.63}
{0.425, 0.64}
{0.425, 0.65}
{0.43, 0.}
{0.43, 0.01}
{0.43, 0.02}
{0.43, 0.03}
{0.43, 0.04}
{0.43, 0.05}
{0.43, 0.06}
{0.43, 0.07}
{0.43, 0.08}
{0.43, 0.09}
{0.43, 0.1}
{0.43, 0.11}
{0.43, 0.12}
{0.43, 0.13}
{0.43, 0.14}
{0.43, 0.15}
{0.43, 0.16}
{0.43, 0.17}
{0.43, 0.18}
{0.43, 0.19}
{0.43, 0.2}
{0.43, 0.21}
{0.43, 0.22}
{0.43, 0.23}
{0.43, 0.24}
{0.43, 0.25}
{0.43, 0.26}
{0.43, 0.27}
{0.43, 0.28}
{0.43, 0.29}
{0.43, 0.3}
{0.43, 0.31}
{0.43, 0.32}
{0.43, 0.33}
{0.43, 0.34}
{0.43, 0.35000000000000003}
{0.43, 0.36}
{0.43, 0.37}
{0.43, 0.38}
{0.43, 0.39}
{0.43, 0.4}
{0.43, 0.41000000000000003}
{0.43, 0.42}
{0.43, 0.43}
{0.43, 0.44}
{0.43, 0.45}
{0.43, 0.46}
{0.43, 0.47000000000000003}
{0.43, 0.48}
{0.43, 0.49}
{0.43, 0.5}
{0.43, 0.51}
{0.43, 0.52}
{0.43, 0.53}
{0.43, 0.54}
{0.43, 0.55}
{0.43, 0.56}
{0.43, 0.5700000000000001}
{0.43, 0.58}
{0.43, 0.59}
{0.43, 0.6}
{0.43, 0.61}
{0.43, 0.62}
{0.43, 0.63}
{0.43, 0.64}
{0.43, 0.65}
{0.435, 0.}
{0.435, 0.01}
{0.435, 0.02}
{0.435, 0.03}
{0.435, 0.04}
{0.435, 0.05}
{0.435, 0.06}
{0.435, 0.07}
{0.435, 0.08}
{0.435, 0.09}
{0.435, 0.1}
{0.435, 0.11}
{0.435, 0.12}
{0.435, 0.13}
{0.435, 0.14}
{0.435, 0.15}
{0.435, 0.16}
{0.435, 0.17}
{0.435, 0.18}
{0.435, 0.19}
{0.435, 0.2}
{0.435, 0.21}
{0.435, 0.22}
{0.435, 0.23}
{0.435, 0.24}
{0.435, 0.25}
{0.435, 0.26}
{0.435, 0.27}
{0.435, 0.28}
{0.435, 0.29}
{0.435, 0.3}
{0.435, 0.31}
{0.435, 0.32}
{0.435, 0.33}
{0.435, 0.34}
{0.435, 0.35000000000000003}
{0.435, 0.36}
{0.435, 0.37}
{0.435, 0.38}
{0.435, 0.39}
{0.435, 0.4}
{0.435, 0.41000000000000003}
{0.435, 0.42}
{0.435, 0.43}
{0.435, 0.44}
{0.435, 0.45}
{0.435, 0.46}
{0.435, 0.47000000000000003}
{0.435, 0.48}
{0.435, 0.49}
{0.435, 0.5}
{0.435, 0.51}
{0.435, 0.52}
{0.435, 0.53}
{0.435, 0.54}
{0.435, 0.55}
{0.435, 0.56}
{0.435, 0.5700000000000001}
{0.435, 0.58}
{0.435, 0.59}
{0.435, 0.6}
{0.435, 0.61}
{0.435, 0.62}
{0.435, 0.63}
{0.435, 0.64}
{0.44, 0.}
{0.44, 0.01}
{0.44, 0.02}
{0.44, 0.03}
{0.44, 0.04}
{0.44, 0.05}
{0.44, 0.06}
{0.44, 0.07}
{0.44, 0.08}
{0.44, 0.09}
{0.44, 0.1}
{0.44, 0.11}
{0.44, 0.12}
{0.44, 0.13}
{0.44, 0.14}
{0.44, 0.15}
{0.44, 0.16}
{0.44, 0.17}
{0.44, 0.18}
{0.44, 0.19}
{0.44, 0.2}
{0.44, 0.21}
{0.44, 0.22}
{0.44, 0.23}
{0.44, 0.24}
{0.44, 0.25}
{0.44, 0.26}
{0.44, 0.27}
